Anand Vihar,"Aya Nagar, Delhi - IMD","Burari Crossing, Delhi - IMD","CRRI Mathura Road, Delhi - IMD",Delhi Technological University,"IGI Airport Terminal-3, Delhi - IMD",IHBAS,Income Tax Office,"Lodhi Road, Delhi - IMD",Mandir Marg,NSIT Dwarka,"North Campus, Delhi - IMD",Punjabi Bagh,"Pusa, Delhi - IMD",R K Puram,Shadipur,Siri Fort,local
232.5957446809,,,,,,,556.0736842105,,168.2340425532,,,238.1041666667,,,,200.7866666667,2017-01-01
231.5416666667,,,,,,,264.1578947368,,174.9791666667,,,174.0540540541,,,,242.3934782609,2017-01-02
325.6666666667,,,,,,,189.4567901235,,222.0930232558,,,301.9285714286,,222,,234.2574468085,2017-01-03
217.7234042553,,,,,,,152.2083333333,,148.175,,,186.8085106383,,214.25,,178.0595744681,2017-01-04
251.2708333333,,,,,,,201.4479166667,,155.8125,,,187.0208333333,,311.375,,183.8553191489,2017-01-05
177.4680851064,,,,,,,152.96875,,151.3333333333,,,139.5,,184.1081081081,,159.9847826087,2017-01-06
131.4565217391,,,,,,,110.2291666667,,120.9333333333,,,115.9111111111,,164.9736842105,,129.3404255319,2017-01-07
133.65625,,,,,,,141.2083333333,,131.8125,,,145.21875,,227.5,,132.8326086957,2017-01-08
113.8571428571,,,,,,,120.7708333333,,104.4642857143,,,146.375,,184.1052631579,,148.9266666667,2017-01-09
124.5625,,,,,,,100.9789473684,,113.1612903226,,,118.1860465116,,130.0882352941,,135.4644444444,2017-01-10
194.847826087,,,,,,,157.1428571429,,154.4090909091,,,208.9361702128,,227.75,,168.1695652174,2017-01-11
270.0217391304,,,,,,,205.328125,,215.6666666667,,,255.2195121951,,237.1875,,227.1622222222,2017-01-12
191.8709677419,,,,,,,240.3414634146,,265.8717948718,,,269.1395348837,,355.45,,346.9852941176,2017-01-13
,,,,,,,178.5434782609,,218.6666666667,,,207,,411,,261.98,2017-01-14
,,,,,,,173.6770833333,,,,,,,,,230.95,2017-01-15
153.725,,,,,,,119.6063829787,,121.1951219512,,,127.0731707317,,138.2333333333,,159.8239130435,2017-01-16
166.6666666667,,,,,,,115.3894736842,,124.3541666667,,,143.8723404255,,187,,179.8948717949,2017-01-17
170.6808510638,,,,,,,118.46875,,137.9787234043,,,172.0833333333,,193.5789473684,,310.8540540541,2017-01-18
130.5,,,,,,,104.5208333333,,106.0416666667,,,123.7826086957,,149.55,,270.9052631579,2017-01-19
107.2,,,,,,,111.1041666667,,96.03125,,,116.8235294118,,182.6923076923,,246.8558823529,2017-01-20
,,,,,,,279.7157894737,,,,,,,,,369.1678571429,2017-01-21
,,,,,,,310.5208333333,,,,,,,,,290.575,2017-01-22
,,,,,,,186.4680851064,,,,,,,,,323.28,2017-01-23
307.0625,,,,,,,179.8333333333,,190.4857142857,,,259.8918918919,,173.8333333333,,240.3125,2017-01-24
199.7708333333,,,,,,,183.9886363636,,192.8085106383,,,194.3555555556,,192.96875,,202.7804878049,2017-01-25
99.2727272727,,,,,,,80.3720930233,,95.1428571429,,,100.9545454545,,124.7073170732,,91.325,2017-01-26
104.125,,,,,,,26.3333333333,,85.12,,,105.8,,187,,76.25,2017-01-27
124.9722222222,,,,,,,74.1529411765,,92.1111111111,,,112.9142857143,,107.5,,99.6666666667,2017-01-28
155.4583333333,,,,,,,132.5268817204,,125.3333333333,,,156.1739130435,,,,157.4666666667,2017-01-29
244.4090909091,,,,,,,163.3647058824,,153.1818181818,,,206.7,,63.6,,160.1860465116,2017-01-30
159.0444444444,,,,,,,140.7674418605,,111.1304347826,,,154.5777777778,,135.7272727273,,146.2195121951,2017-01-31
178.3333333333,,,,,,,146.8488372093,,125.7826086957,,,163.511627907,,244.64,,142,2017-02-01
190.6341463415,,,,,,,171.7176470588,,144.5365853659,,,177.487804878,,212.1142857143,,175.5476190476,2017-02-02
234.4680851064,,,,,,,239.3146067416,,157.9787234043,,,192.2708333333,,288.1578947368,,180.0227272727,2017-02-03
180.2340425532,,,,,,,-87.6,,146.3958333333,,,152.1555555556,,186.4634146341,,165.3953488372,2017-02-04
202.9375,,,,,,,-427.5113636364,,153.5319148936,,,179.3260869565,,179.1923076923,,176.0681818182,2017-02-05
135.3125,,,,,,,-112.4444444444,,110.8837209302,,,119.9166666667,,122.8333333333,,138.2631578947,2017-02-06
98.4375,,,,,,,96.8777777778,,74.2222222222,,,90.4375,,100.0833333333,,91.5952380952,2017-02-07
146.5833333333,,,,,,,138.1648351648,,99.5581395349,,,124.829787234,,146.3636363636,,114.652173913,2017-02-08
147.7916666667,,,,,,,134.4835164835,,98.2413793103,,,130.847826087,,103.6153846154,,130.8837209302,2017-02-09
119.6590909091,,,,,,,111.7303370787,,61.4333333333,,,114.511627907,,59.8461538462,,136.4390243902,2017-02-10
126.8260869565,,,,,,,145.2873563218,,110.8260869565,,,181.3333333333,,125,,140.1951219512,2017-02-11
,,,,,,,153.829787234,,,,,,,,,161.5714285714,2017-02-12
103,,,,,,,150.0117647059,,101.5,,,117,,120.5,,166.4102564103,2017-02-13
161.4444444444,,,,,,,254.5869565217,,117.8888888889,,,149.9736842105,,116.8181818182,,179.6388888889,2017-02-14
142.1914893617,,,,,,,212.1714285714,,112.847826087,,,136.2954545455,,137.8695652174,,214.9024390244,2017-02-15
120.4255319149,,,,,,,285.1758241758,,96.8510638298,,,122.7272727273,,123.4285714286,,254.1052631579,2017-02-16
127.4791666667,,,,176,,,326.05,,97.5625,,,102.5172413793,,112.7142857143,,125.2666666667,2017-02-17
119.4130434783,,,,186.2,,87.8333333333,,,94.9333333333,85.3,,120.3,,111.5,135.7918181818,110.2325581395,2017-02-18
157.5681818182,,,,156.575,,88.9227272727,,,103.1860465116,85.3,,141.8139534884,,,191.3475,108.0769230769,2017-02-19
191.2,,,,133.2,,74.9294117647,80.9038461538,,147.6,93.8450980392,,137.8,,,174.5683333333,91.5714285714,2017-02-20
96.2432432432,,,,122.1395348837,,77.7216216216,83.7441860465,,70.0833333333,98.5845238095,,87.8484848485,,133.2941176471,126.9508988764,86.5238095238,2017-02-21
90.9302325581,,,,134.6170212766,,53.5909090909,101.7469879518,,75.5813953488,100.6892857143,,98.7906976744,,80.8461538462,154.6858333333,77.925,2017-02-22
66.3333333333,,,,83.3571428571,,52.5564102564,66.8461538462,,87.7777777778,97.9797619048,,116.5555555556,,117.6,104.8811940299,163,2017-02-23
,,,,91.9090909091,,53.81,61.4268292683,,,88.412345679,,,,,99.2953488372,374,2017-02-24
,,,,121,,59.1307692308,78.5795454545,,,95.74,,,,,102.8347191011,251,2017-02-25
,,,,112.2619047619,,58.3575,89.7888888889,,,93.7418604651,,,,,100.8839772727,467,2017-02-26
77.3333333333,,,,132.8181818182,,79.9848484848,93.2191780822,,58.2380952381,120.6626666667,,73.0909090909,,105.9333333333,182.2864102564,,2017-02-27
98.9,,,,176.0263157895,,98.6575,143.3561643836,,105.15,138.2666666667,,157.5,,97,249.1119736842,174.0526315789,2017-02-28
60.9090909091,,,,115.3043478261,,93.6652173913,110.0666666667,,96.1052631579,99.1837209302,,53.3333333333,,81.5,155.8923529412,100.8888888889,2017-03-01
100.3076923077,,,,104.1458333333,,69.9564102564,112.0941176471,,72.0277777778,101.4887640449,,90.1315789474,,81.2857142857,136.4709782609,96.4545454545,2017-03-02
73.3953488372,,,,82.8888888889,,45.885,65.8043478261,,57.5909090909,85.624137931,,71.2391304348,,81.619047619,92.2484337349,61.6888888889,2017-03-03
83.9166666667,,,,126.1914893617,,58.4764705882,80.2826086957,,67.5,84.1385714286,,84.652173913,,89.9,83.8544827586,88.1276595745,2017-03-04
90.4523809524,,,,136.8958333333,,49.1,95.2553191489,,82.2222222222,78.425,,99.0416666667,,92.7142857143,90.2835955056,88.9787234043,2017-03-05
107.8604651163,,,,116.0208333333,,48.6228571429,88.0989010989,,80.6666666667,84.9152941176,,97.1489361702,,79.8947368421,110.3277011494,90.625,2017-03-06
130.5208333333,,,,131.0833333333,,90.3765957447,103.7011494253,,84,102.7441860465,,120.6956521739,,126.0526315789,171.4568604651,99.2173913043,2017-03-07
69.8125,,,,46.8541666667,,58.3904761905,56.4347826087,,52.4318181818,426.1306666667,,53.347826087,,56.1,80.2083544304,54.0681818182,2017-03-08
,,,,63.7291666667,,44.0093023256,60.2417582418,,50.8214285714,175.7826666667,,73.6315789474,,67.8,60.7873333333,50.3902439024,2017-03-09
,,,,41.8125,,30.9137931034,39.376344086,,35.6428571429,752.0818181818,,35.2,,44.5652173913,53.9703296703,29.6279069767,2017-03-10
,,,,48.0888888889,,43.9631578947,57.7356321839,,45.6,,,45.1666666667,,57.9032258065,50.2450588235,49.3902439024,2017-03-11
74.6829268293,,,,63.875,,47.7318181818,59.1777777778,,53.6363636364,,,43.7857142857,,70.4375,55.5565217391,63.2727272727,2017-03-12
95.5208333333,,,,84.1304347826,,41.5977777778,65.8152173913,,55.0888888889,,,56.619047619,,70.2,73.1620212766,48.6111111111,2017-03-13
148.4418604651,,,,95.8958333333,,63.0210526316,74.7692307692,,56.619047619,,,80.7142857143,,80.7777777778,107.4118181818,79.6551724138,2017-03-14
157.3333333333,,,,127.0681818182,,34.2592592593,96.3936170213,,84.8333333333,,,160.7,,102.7368421053,132.322247191,100.0638297872,2017-03-15
171.8043478261,,,,138.5833333333,,71.7814814815,110.7528089888,,92.4565217391,,,148.6086956522,,104.6756756757,146.2629885057,106.9523809524,2017-03-16
95.2888888889,,,,121.0833333333,,44.2705882353,82.8131868132,,82.3617021277,,,92.2291666667,,87.1,138.8930379747,105.0769230769,2017-03-17
157.170212766,,,,134.2291666667,,90.8731707317,98.2558139535,,80.2222222222,,,111.9361702128,,104.2820512821,198.7384883721,96.725,2017-03-18
150.9583333333,,,,155.5625,,98.725,99.2117647059,,80.4130434783,,,108.4772727273,,101.6,133.5717045455,89.2285714286,2017-03-19
120.4285714286,,,,153.2391304348,,40.62,114.5348837209,,91.7777777778,,,107,,116.3636363636,136.2370114943,136.9285714286,2017-03-20
169.6216216216,,,,164.4375,,56.2142857143,123.4880952381,,92.1578947368,,,124.6111111111,,120.7666666667,158.4337209302,88.475,2017-03-21
137.0652173913,,,,161.2916666667,,65.6306122449,86.2916666667,,79.625,107.2,,133.4615384615,,115.7,161.5762962963,98.6595744681,2017-03-22
178.1041666667,,,,175.4651162791,,78.3093023256,124.6117647059,,109.5625,125.9793103448,,158.7916666667,,,219.9290243902,117.4318181818,2017-03-23
88.0833333333,,,,106.3720930233,,44.5065217391,91.0481927711,,69.2391304348,318.8058823529,,89.6666666667,,,123.8253932584,84.243902439,2017-03-24
88.1458333333,,,,103.4791666667,,39.4666666667,69.5760869565,,64.2195121951,314.3319148936,,84.7857142857,,,88.8448387097,73.5135135135,2017-03-25
89.5625,,,,102.7111111111,,36.8780487805,77.5729166667,,68.5777777778,188.6095238095,,74.9047619048,,,103.4143103448,73.2051282051,2017-03-26
79.9459459459,,,,100.7555555556,,58.5227272727,77.7837837838,,63.5161290323,314.1679012346,,85.8666666667,,,110.984,89.175,2017-03-27
126.5142857143,,,,172.5434782609,,81.3104166667,115.6413043478,,,401.0913043478,,145.5,,,160.2892045455,120.875,2017-03-28
91.5625,,,,108.2,,69.0617021277,65.4105263158,,51.2432432432,,,71.5384615385,,,113.9038271605,75.9756097561,2017-03-29
81.3428571429,,,,181,,59.0266666667,64.8837209302,,64.0285714286,,,108.9090909091,,,92.0913978495,66.1777777778,2017-03-30
110.1489361702,,,,110.2666666667,,81.5318181818,77.6206896552,,82.6444444444,,,116.0689655172,,,149.5551041667,100,2017-03-31
102.4166666667,,,,108.1666666667,,83.3818181818,69.7444444444,,87.8048780488,,,129,,,114.6538888889,94.6944444444,2017-04-01
81.4791666667,,,,97.3695652174,,72.0275862069,61.8510638298,,68.9756097561,,,,,,93.3175531915,68.4594594595,2017-04-02
93.7021276596,,,,110.3103448276,,80.5583333333,63.25,,61.5681818182,,,55.3888888889,,,112.6564516129,75.2413793103,2017-04-03
83.4772727273,,,,62.5957446809,,78.304,51.04,,52.7878787879,,,58.9782608696,,,105.1109195402,50.7333333333,2017-04-04
49.7692307692,,,,48.7708333333,,59.7181818182,37.5789473684,,30.9090909091,,,46.4090909091,,,70.0983516484,38.6428571429,2017-04-05
108.2222222222,,,,110.6382978723,,81.4595238095,75.7888888889,,89.9574468085,,,123.5106382979,,,236.6677419355,121.6571428571,2017-04-06
158.6458333333,,,,128.9,,90.0666666667,107.0212765957,,102.9574468085,,,144.2340425532,,,173.1098958333,131.3255813953,2017-04-07
144.0227272727,,,,129.625,,46.7074074074,92.4842105263,,95.5128205128,,,116.976744186,,,109.7115853659,106.1904761905,2017-04-08
41.7916666667,,,,38.5555555556,,48.8234042553,38.1348314607,,39.8333333333,,,53.9375,,,75.7098947368,47.7631578947,2017-04-09
68.0714285714,,,,71.40625,,73.9888888889,50.5076923077,,55.1666666667,99.1,,80.9285714286,,,93.2369791667,145.75,2017-04-10
73.2173913043,,,,72.7857142857,,70.7279069767,53.0555555556,,40.7368421053,82.3636363636,,66.2,,81,106.1710638298,145.2380952381,2017-04-11
128,,,,187.3333333333,,79.9851851852,108.1428571429,,68.4615384615,93.7407407407,,101.6666666667,,88,121.2993333333,82,2017-04-12
248.7096774194,,,,128.2533333333,,109.7911764706,122.6666666667,,98.4193548387,122.8430555556,,142.9032258065,,161.4444444444,213.2678947368,102.5,2017-04-13
255.6875,,,,180.7446808511,,134.1941176471,180.9473684211,,145.1739130435,124.9217391304,,152.0416666667,,197.0294117647,244.5276041667,141.6388888889,2017-04-14
174.1041666667,,,,187.8085106383,,103.9142857143,94.3020833333,,80.3191489362,133.6106382979,,118.4166666667,,165.4666666667,205.225,98.3777777778,2017-04-15
159.6875,,,,171.2083333333,,137.1875,144.6666666667,,126.2083333333,114.275,,,,176.3571428571,220.158,162.9615384615,2017-04-16
130.7317073171,,,,123.8842105263,,114.38,119.3473684211,,111.6470588235,125.2563829787,,125.1666666667,,166.1666666667,187.3786666667,120.6774193548,2017-04-17
179.5652173913,,,,146.3263157895,,146.8666666667,120.4943820225,,103.7272727273,148.527173913,,136.4042553191,,158.3333333333,221.8369811321,130.5813953488,2017-04-18
224.5744680851,,,,119.1595744681,,119.8764705882,75.0107526882,,72.5319148936,124.6547619048,,103.7045454545,,133.7692307692,145.83,84.023255814,2017-04-19
213.3076923077,,,,111.1460674157,,100.7055555556,80.0943396226,,82.3571428571,126.6240963855,,180.4166666667,,124.875,59.8756382979,96.7209302326,2017-04-20
,,,,111.6455696203,,103.6363636364,113.9886363636,,,166.3820224719,,,,,56.4779120879,107.3720930233,2017-04-21
,,,,121.7368421053,,88.8648648649,55.0224719101,,,178.6011363636,,,,,54.9282978723,119.7954545455,2017-04-22
,,,,73.3296703297,,87.9115384615,9.4565217391,,,122.3253012048,,,,,42.4151041667,72.2727272727,2017-04-23
47,,,,56.6373626374,,152.0555555556,37.2282608696,,,108.5366666667,,,,21,25.7695833333,57.8837209302,2017-04-24
80.6857142857,,,,77.5319148936,,113.2978723404,46.2696629213,,72.5,105.2,,,,89.5416666667,38.091875,68.8611111111,2017-04-25
133.652173913,,,,86.2417582418,,87.0409090909,43.1630434783,,45.65,91.4541176471,,,,63.6511627907,60.0804395604,46.2857142857,2017-04-26
121.2857142857,,,,79.1818181818,,93.6375,73.3661971831,,67.0487804878,92.2046875,,,,84.9375,85.8932857143,57.53125,2017-04-27
135.6,,,,70.6060606061,,85.2285714286,54.9545454545,,78.1111111111,94.5651515152,,,,,82.0675757576,60.9705882353,2017-04-28
192.0303030303,,,,114.6086956522,,118.4344827586,83.6774193548,,93.7857142857,121.661627907,,,,113,138.4184375,97.5333333333,2017-04-29
88.9375,,,,61.9347826087,,92.2333333333,54.5652173913,,60.53125,93.1269662921,,,,85.2068965517,85.1459139785,52,2017-04-30
97.9230769231,,,,111.3111111111,,99.85,69.1397849462,,66.25,128.1741176471,,,,68.9333333333,112.064,52.8421052632,2017-05-01
81,,,,164.425,,155.4571428571,107.9655172414,,65.5,136.0772727273,,,,66,148.7241489362,130.0731707317,2017-05-02
188,,,,127.2134831461,,189.4,85.752688172,,159.5,139.7025,,,,185,136.4420879121,101.6351351351,2017-05-03
109.75,,,,110.2769230769,,178.5628571429,114.6373626374,,126.75,137.8431818182,,,,160.75,180.1093617021,94.32,2017-05-04
229.2857142857,,,,,,181.5425925926,138.021978022,,114.8857142857,117.4450549451,,,,149.4242424242,200.1423076923,,2017-05-05
276.6511627907,,,,268,,138.1,139.2127659574,,139.3461538462,99.4032608696,,,,159.8125,218.3010752688,,2017-05-06
202.6315789474,,,,,,,110.3736263736,,,93.0539325843,,,,149.2765957447,215.480212766,424,2017-05-07
155.8064516129,,,,,,134.2973684211,135.6705882353,,105.7777777778,90.6068181818,,,,174.9545454545,191.2765957447,164.2553191489,2017-05-08
88.4090909091,,,,,,100.9921052632,99.3717948718,,71.8,79.8352272727,,,,103.3023255814,109.8658510638,92,2017-05-09
73.1111111111,,,,,,77.9184210526,174.3947368421,,55.6888888889,58.9527472527,,,,87.2195121951,80.1677419355,59.0149253731,2017-05-10
152.6136363636,,,,,,130.1895833333,131.2857142857,,103.976744186,105.5875,,,,151.1590909091,223.3943820225,65.3333333333,2017-05-11
214.8666666667,,,,113,,151.075,195.7894736842,,192.4782608696,131.2786516854,,,,198.8888888889,309.8575531915,134.7,2017-05-12
254.9090909091,,,,197,,136.1107692308,130.7173913043,,120.3863636364,92.9229885057,,,,144.4523809524,209.6427956989,155.6,2017-05-13
200.4761904762,,,,265.5,,144.4350649351,63.686746988,,127.2608695652,86.7565217391,,,,115.2380952381,207.7004395604,102.25,2017-05-14
186.4545454545,,,,84.6666666667,,136.1607843137,48.0821917808,,74.7272727273,73.2370786517,,,,93.2,170.4584782609,79.56,2017-05-15
75.6052631579,,,,71.3333333333,,129.3962962963,87.4268292683,,69.2857142857,98.1566666667,,,,87.0344827586,166.9707526882,100,2017-05-16
81.1,,,,108.5652173913,,81.3275,138.1585365854,,66.2903225806,71.6588235294,,,,74.96875,130.0778494624,,2017-05-17
,,,,101.012987013,,104.2805555556,91.9583333333,,83.1111111111,63.5989010989,,,,108.5789473684,131.0950549451,,2017-05-18
293.125,,,,100.9166666667,,126.17,94.2033898305,,59,87.8444444444,,,,84.5,101.8355434783,,2017-05-19
347,,,,92.4473684211,,108.45,25.7931034483,,72.1212121212,161.8112359551,,,,112.7333333333,172.2572340426,,2017-05-20
107.0238095238,,,,113.6756756757,,119.1821917808,-15.7090909091,,88.6590909091,183.4333333333,,,,156.3513513514,205.615326087,,2017-05-21
134.7441860465,,,,161.156626506,,57.1934065934,155.9722222222,,92.3421052632,144.1988636364,,,,158.8536585366,74.7125531915,106.7857142857,2017-05-22
155,,,,120.0574712644,,81.95,103.9594594595,,70.8055555556,108.0423913043,,,,112.5,59.6431914894,78.9782608696,2017-05-23
,,,,97.5,,96,115.1016949153,,63.7692307692,117.9283333333,,,,93,74.2891666667,93.1714285714,2017-05-24
116.8,,,,110.5789473684,,108.1518518519,167.7432432432,,85.5714285714,112.85,,,,116.5,117.394375,114.6739130435,2017-05-25
72.4857142857,,,,89.2615384615,,93.7366666667,103.5844155844,,60.8139534884,123.8755555556,,26,,98.4857142857,92.8960416667,74.8461538462,2017-05-26
50.0930232558,,,,54.1917808219,,68.9567567568,122.6707317073,,44.7441860465,106.69375,,38.75,,86.1025641026,76.08125,58.320754717,2017-05-27
36.8048780488,,,,47.9,,61.7471910112,117.0740740741,,33.7441860465,77.3125,,36.4893617021,,44.7714285714,69.6125,38.3846153846,2017-05-28
57.2413793103,,,,57.6923076923,,60.9663157895,151.1688311688,,49.880952381,66.7847826087,,54.55,,66.5789473684,132.2741666667,55.4390243902,2017-05-29
55.2916666667,,,,55.1142857143,,61.0443181818,152.8484848485,,47.2857142857,73.9520833333,,48.2258064516,,61.9487179487,79.251875,48.4716981132,2017-05-30
99.1333333333,,,,93.25,,62.758,120.6818181818,,68.6315789474,74.64375,,77.625,,68.1176470588,201.8547619048,57.5636363636,2017-05-31
121.0869565217,,,,120.414893617,,65.0794117647,140.649122807,,95.6222222222,114.4510204082,,111.0638297872,,123.7878787879,178.2661702128,98.7301587302,2017-06-01
